shitTime,Temperature,Humidity,Scored Probabilities
2021-04-06T18:20:35.3090000Z,27.1,19,9.9028206022922E-05
2021-04-06T18:20:55.5010000Z,27,20,9.9028206022922E-05
2021-04-06T18:21:15.8210000Z,26.9,20,9.9028206022922E-05
2021-04-06T18:21:36.0660000Z,26.9,20,9.9028206022922E-05
2021-04-06T18:21:56.2260000Z,26.9,19,9.9028206022922E-05
2021-04-06T18:22:16.3720000Z,26.8,19,9.9028206022922E-05
2021-04-06T18:22:36.5700000Z,26.8,19,9.9028206022922E-05
2021-04-06T18:22:56.8850000Z,26.6,19,9.9028206022922E-05
2021-04-06T18:23:17.1580000Z,26.6,19,9.9028206022922E-05
2021-04-06T18:23:37.4120000Z,26.5,20,9.9028206022922E-05
2021-04-06T18:23:57.6500000Z,26.5,20,9.9028206022922E-05
2021-04-06T18:24:18.0000000Z,26.5,19,9.9028206022922E-05
2021-04-06T18:24:38.2520000Z,26.5,20,9.9028206022922E-05
2021-04-06T18:24:58.5030000Z,26.5,19,9.9028206022922E-05
2021-04-06T18:25:18.6780000Z,26.4,20,9.9028206022922E-05
2021-04-06T18:25:39.1020000Z,26.4,20,9.9028206022922E-05
2021-04-06T18:25:59.2600000Z,26.3,20,9.9028206022922E-05
2021-04-06T18:26:19.4080000Z,26.2,20,9.9028206022922E-05
2021-04-06T18:26:39.5580000Z,26.1,20,9.9028206022922E-05
2021-04-06T18:26:59.7180000Z,26.2,21,9.9028206022922E-05
2021-04-06T18:27:19.8630000Z,26,20,9.9028206022922E-05
2021-04-06T18:27:40.0220000Z,26,20,9.9028206022922E-05
2021-04-06T18:28:00.1690000Z,26,20,9.9028206022922E-05
2021-04-06T18:28:20.3270000Z,25.9,20,9.9028206022922E-05
2021-04-06T18:28:40.5830000Z,26,21,9.9028206022922E-05
2021-04-06T18:29:00.7260000Z,25.9,20,9.9028206022922E-05
2021-04-06T18:29:20.8860000Z,25.9,20,9.9028206022922E-05
2021-04-06T18:29:41.0290000Z,25.9,20,9.9028206022922E-05
2021-04-06T18:30:01.1890000Z,25.9,20,9.9028206022922E-05
2021-04-06T18:30:21.3330000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:30:41.4950000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:31:01.6400000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:31:21.8170000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:31:41.9460000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:32:02.1040000Z,25.7,20,9.9028206022922E-05
2021-04-06T18:32:22.5000000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:32:42.7230000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:33:02.8640000Z,25.8,20,9.9028206022922E-05
2021-04-06T18:33:23.0090000Z,25.7,20,9.9028206022922E-05
2021-04-06T18:33:43.1680000Z,25.7,20,9.9028206022922E-05
2021-04-06T18:34:03.3160000Z,25.7,20,9.9028206022922E-05
2021-04-06T18:34:23.5250000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:34:43.7200000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:35:03.8680000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:35:24.0290000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:35:44.2810000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:36:04.4270000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:36:24.7800000Z,25.5,21,9.9028206022922E-05
2021-04-06T18:36:44.9380000Z,25.5,22,9.9028206022922E-05
2021-04-06T18:37:05.3790000Z,25.5,21,9.9028206022922E-05
2021-04-06T18:37:25.6470000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:37:45.8980000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:38:06.1510000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:38:26.2950000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:38:46.4400000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:39:06.6150000Z,25.6,20,9.9028206022922E-05
2021-04-06T18:39:26.7570000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:39:46.8990000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:40:07.0590000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:40:27.2180000Z,25.5,21,9.9028206022922E-05
2021-04-06T18:40:47.3630000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:41:07.5240000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:41:27.6700000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:41:47.8310000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:42:07.9760000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:42:28.1340000Z,25.5,20,9.9028206022922E-05
2021-04-06T18:42:48.4800000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:43:08.6400000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:43:28.8610000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:43:49.0350000Z,25.4,20,9.9028206022922E-05
2021-04-06T18:44:09.1940000Z,25.4,20,9.9028206022922E-05
2021-04-06T18:44:29.3390000Z,25.4,20,9.9028206022922E-05
2021-04-06T18:44:49.5110000Z,25.4,20,9.9028206022922E-05
2021-04-06T18:45:09.8460000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:45:30.0080000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:45:50.2440000Z,25.4,20,9.9028206022922E-05
2021-04-06T18:46:10.6100000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:46:30.7540000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:46:50.9170000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:47:11.0640000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:47:31.2730000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:47:51.3760000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:48:11.5210000Z,25.3,21,9.9028206022922E-05
2021-04-06T18:48:31.6810000Z,25.4,21,9.9028206022922E-05
2021-04-06T18:48:51.8440000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:49:12.0030000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:49:32.4270000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:49:52.5860000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:50:12.7340000Z,25.3,20,9.9028206022922E-05
